式番号,記号,日本語名,使うデータ,計算方法,範囲,高い/1の意味
1.0,ME_i,時価総額,株価×株式数,掛け算,0以上（円）,会社が大きく評価されている
1.0,P_i,株価,市場の終値（2026-06 時点）,―,0以上（円）,1株が高い
1.0,N_i,発行済株式数,会社が発行した株式の総数,―,0以上（株）,株式数が多い
1.1,BM_i,簿価時価比率,純資産÷時価総額,割り算,0以上,純資産のわりに株価が安い（割安）
1.1,BE_i,自己資本（純資産）,財務諸表の純資産,―,円,会社が蓄えた元手が大きい
1.1,ME_i,時価総額,式 1.0,―,円,会社の値段が高い
1.2,EP_i,益回り,純利益÷時価総額,割り算,―,利益のわりに株価が安い
1.2,E_i,当期純利益,財務諸表の最終利益,―,円,会社がよく稼いでいる
1.2,ME_i,時価総額,式 1.0,―,円,会社の値段が高い
1.3,GP_i,総収益性,粗利÷総資産,割り算,おおむね0〜1,資産効率が高い（優良）
1.3,Revenue_i,売上高,財務諸表,―,円,事業規模が大きい
1.3,COGS_i,売上原価,財務諸表,―,円,（粗利＝売上−原価）
1.3,TotalAssets_i,総資産,財務諸表,―,円,（分母）
1.4,PF_i,健全性合格割合,合格数÷算出可能数,割り算,0〜1,財務が健全・改善方向
1.4,合格シグナル,各チェックの合格,例：黒字か・CF黒字か・借入が減ったか 等,各0/1,―,そのチェックに合格
1.4,算出可能数,計算できた項目数,データがそろう項目のみ,―,本研究は最大6,（9項目中6項目を実装）
1.5,ACC_i,アクルーアル,（純利益−営業CF）÷総資産,割り算,おおむね−0.3〜0.3,大きいほど利益の質が低い
1.5,NI_i,当期純利益,財務諸表,―,円,―
1.5,CFO_i,営業キャッシュフロー,財務諸表,―,円,本業で稼いだ現金
1.6,ADV_i,60日平均売買代金,過去60日の売買代金の平均,平均,0以上（円）,日々活発に取引され約定しやすい
1.6,"P_{i,d}",d日前の終値,市場データ,―,円,―
1.6,"V_{i,d}",d日前の出来高,市場データ,―,株,その日に売買された株数
1.7,D_i,危険フラグ,2条件のいずれか該当で1,場合分け,0 または 1,1＝危険と判定し候補から除外
1.7,BE_i,自己資本（純資産）,財務諸表,―,円,マイナスは債務超過（危険）
1.7,"NI_{i,t}",当期純利益,財務諸表,―,円,3期連続マイナスは危険
1.7,"t−1, t−2",前年度・前々年度,財務諸表,―,―,過去2期をさかのぼる
2.1,"z_{i,k}",正規化値,市場順位÷会社数,割り算,0〜1,市場の中で上位
2.1,"x_{i,k}",指標kの生値,B/M・E/P など,―,―,―
2.1,"Ω, N_Ω",母集団と社数,対象の全会社,―,―,―
